data__Global.Name,data__Region.Name,data__Sub.region.Name,data__Country.or.Area,data__alpha3,data__Developed...Developing.Countries,data__Least.Developed.Countries..LDC.,data__Intermediate.Region.Code,data__Intermediate.Region.Name,subregion,region,cnnRegion
World,Asia,Southern Asia,Bangladesh,BGD,Developing,x,NA,,Southern Asia,Asia,Asia
World,Asia,Southern Asia,Bhutan,BTN,Developing,x,NA,,Southern Asia,Asia,Asia
World,Asia,Southern Asia,India,IND,Developing,,NA,,Southern Asia,Asia,Asia
World,Asia,Southern Asia,Iran (Islamic Republic of),IRN,Developing,,NA,,Southern Asia,Asia,Asia
World,Asia,Southern Asia,Maldives,MDV,Developing,,NA,,Southern Asia,Asia,Asia
World,Asia,Southern Asia,Nepal,NPL,Developing,x,NA,,Southern Asia,Asia,Asia
World,Asia,Southern Asia,Pakistan,PAK,Developing,,NA,,Southern Asia,Asia,Asia
World,Asia,Southern Asia,Sri Lanka,LKA,Developing,,NA,,Southern Asia,Asia,Asia
World,Asia,Western Asia,Armenia,ARM,Developing,,NA,,Western Asia,Asia,Asia
World,Asia,Western Asia,Azerbaijan,AZE,Developing,,NA,,Western Asia,Asia,Asia
World,Asia,Western Asia,Bahrain,BHR,Developing,,NA,,Western Asia,Asia,Asia
World,Asia,Western Asia,Cyprus,CYP,Developed,,NA,,Western Asia,Asia,Asia
World,Asia,Western Asia,Georgia,GEO,Developing,,NA,,Western Asia,Asia,Asia
World,Asia,Western Asia,Iraq,IRQ,Developing,,NA,,Western Asia,Asia,Asia
World,Asia,Western Asia,Israel,ISR,Developed,,NA,,Western Asia,Asia,Asia
World,Asia,Western Asia,Jordan,JOR,Developing,,NA,,Western Asia,Asia,Asia
World,Asia,Western Asia,Kuwait,KWT,Developing,,NA,,Western Asia,Asia,Asia
World,Asia,Western Asia,Lebanon,LBN,Developing,,NA,,Western Asia,Asia,Asia
World,Asia,Western Asia,Oman,OMN,Developing,,NA,,Western Asia,Asia,Asia
World,Asia,Western Asia,Qatar,QAT,Developing,,NA,,Western Asia,Asia,Asia
World,Asia,Western Asia,Saudi Arabia,SAU,Developing,,NA,,Western Asia,Asia,Asia
World,Asia,Western Asia,State of Palestine,PSE,Developing,,NA,,Western Asia,Asia,Asia
World,Asia,Western Asia,Syrian Arab Republic,SYR,Developing,,NA,,Western Asia,Asia,Asia
World,Asia,Western Asia,Turkey,TUR,Developing,,NA,,Western Asia,Asia,Asia
World,Asia,Western Asia,United Arab Emirates,ARE,Developing,,NA,,Western Asia,Asia,Asia
World,Asia,Western Asia,Yemen,YEM,Developing,x,NA,,Western Asia,Asia,Asia
World,Europe,Eastern Europe,Belarus,BLR,Developed,,NA,,Eastern Europe,Europe,Europe
World,Europe,Eastern Europe,Bulgaria,BGR,Developed,,NA,,Eastern Europe,Europe,Europe
World,Europe,Eastern Europe,Czechia,CZE,Developed,,NA,,Eastern Europe,Europe,Europe
World,Europe,Eastern Europe,Hungary,HUN,Developed,,NA,,Eastern Europe,Europe,Europe
World,Europe,Eastern Europe,Poland,POL,Developed,,NA,,Eastern Europe,Europe,Europe
World,Europe,Eastern Europe,Republic of Moldova,MDA,Developed,,NA,,Eastern Europe,Europe,Europe
World,Europe,Eastern Europe,Romania,ROU,Developed,,NA,,Eastern Europe,Europe,Europe
World,Europe,Eastern Europe,Russian Federation,RUS,Developed,,NA,,Eastern Europe,Europe,Europe
World,Europe,Eastern Europe,Slovakia,SVK,Developed,,NA,,Eastern Europe,Europe,Europe
World,Europe,Eastern Europe,Ukraine,UKR,Developed,,NA,,Eastern Europe,Europe,Europe
World,Europe,Northern Europe,Åland Islands,ALA,Developed,,NA,,Northern Europe,Europe,Europe
World,Europe,Northern Europe,Guernsey,GGY,Developed,,830,Channel Islands,Northern Europe,Europe,Europe
World,Europe,Northern Europe,Jersey,JEY,Developed,,830,Channel Islands,Northern Europe,Europe,Europe
World,Europe,Northern Europe,Sark,,Developed,,830,Channel Islands,Northern Europe,Europe,Europe
World,Europe,Northern Europe,Denmark,DNK,Developed,,NA,,Northern Europe,Europe,Europe
World,Europe,Northern Europe,Estonia,EST,Developed,,NA,,Northern Europe,Europe,Europe
World,Europe,Northern Europe,Faroe Islands,FRO,Developed,,NA,,Northern Europe,Europe,Europe
World,Europe,Northern Europe,Finland,FIN,Developed,,NA,,Northern Europe,Europe,Europe
World,Europe,Northern Europe,Iceland,ISL,Developed,,NA,,Northern Europe,Europe,Europe
World,Europe,Northern Europe,Ireland,IRL,Developed,,NA,,Northern Europe,Europe,Europe
World,Europe,Northern Europe,Isle of Man,IMN,Developed,,NA,,Northern Europe,Europe,Europe
World,Europe,Northern Europe,Latvia,LVA,Developed,,NA,,Northern Europe,Europe,Europe
World,Europe,Northern Europe,Lithuania,LTU,Developed,,NA,,Northern Europe,Europe,Europe
World,Europe,Northern Europe,Norway,NOR,Developed,,NA,,Northern Europe,Europe,Europe
World,Europe,Northern Europe,Svalbard and Jan Mayen Islands,SJM,Developed,,NA,,Northern Europe,Europe,Europe
World,Europe,Northern Europe,Sweden,SWE,Developed,,NA,,Northern Europe,Europe,Europe
World,Europe,Northern Europe,United Kingdom of Great Britain and Northern Ireland,GBR,Developed,,NA,,Northern Europe,Europe,Europe
World,Europe,Southern Europe,Albania,ALB,Developed,,NA,,Southern Europe,Europe,Europe
World,Europe,Southern Europe,Andorra,AND,Developed,,NA,,Southern Europe,Europe,Europe
World,Europe,Southern Europe,Bosnia and Herzegovina,BIH,Developed,,NA,,Southern Europe,Europe,Europe
World,Europe,Southern Europe,Croatia,HRV,Developed,,NA,,Southern Europe,Europe,Europe
World,Europe,Southern Europe,Gibraltar,GIB,Developed,,NA,,Southern Europe,Europe,Europe
World,Europe,Southern Europe,Greece,GRC,Developed,,NA,,Southern Europe,Europe,Europe
World,Europe,Southern Europe,Holy See,VAT,Developed,,NA,,Southern Europe,Europe,Europe
World,Europe,Southern Europe,Italy,ITA,Developed,,NA,,Southern Europe,Europe,Europe
World,Europe,Southern Europe,Malta,MLT,Developed,,NA,,Southern Europe,Europe,Europe
World,Europe,Southern Europe,Montenegro,MNE,Developed,,NA,,Southern Europe,Europe,Europe
World,Europe,Southern Europe,North Macedonia,MKD,Developed,,NA,,Southern Europe,Europe,Europe
World,Europe,Southern Europe,Portugal,PRT,Developed,,NA,,Southern Europe,Europe,Europe
World,Europe,Southern Europe,San Marino,SMR,Developed,,NA,,Southern Europe,Europe,Europe
World,Europe,Southern Europe,Serbia,SRB,Developed,,NA,,Southern Europe,Europe,Europe
World,Europe,Southern Europe,Slovenia,SVN,Developed,,NA,,Southern Europe,Europe,Europe
World,Europe,Southern Europe,Spain,ESP,Developed,,NA,,Southern Europe,Europe,Europe
