date,code,name,totalDoses,peopleVaccinated,peopleFullyVaccinated,total_boosters,dailyDosesAvg,totalDosesPer100,peopleVaccinatedPer100,peopleFullyVaccinatedPer100,total_boosters_per_hundred,dailyDosesAvgPer1M,daily_people_vaccinated,daily_people_vaccinated_per_hundred,firstShotDate,vaccines,cnnRegion
2022-01-10,LIE,Liechtenstein,65310,26385,25738,14113,250,170.73,68.97,67.28,36.89,6535,27,0.071,2021-01-18,"Moderna, Pfizer/BioNTech",Europe
2022-01-11,LTU,Lithuania,4274547,1930302,1845312,772322,15115,158.91,71.76,68.6,28.71,5619,1330,0.049,2020-12-27,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Europe
2022-01-09,LUX,Luxembourg,1118345,468360,NA,242112,6000,176.17,73.78,NA,38.14,9452,561,0.088,2020-12-28,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Europe
2022-01-11,MAC,Macao,994523,497250,467736,NA,2212,151.05,75.53,71.04,NA,3360,445,0.068,2021-02-09,"Pfizer/BioNTech, Sinopharm/Beijing",Asia
2022-01-05,MDG,Madagascar,971426,817386,767113,NA,7645,3.42,2.88,2.7,NA,269,7613,0.027,2021-05-10,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",Africa
2022-01-11,MWI,Malawi,1847917,1498902,748097,NA,4921,9.41,7.63,3.81,NA,250,611,0.003,2021-03-11,"Johnson&Johnson, Oxford/AstraZeneca",Africa
2022-01-11,MYS,Malaysia,59771359,26030831,25657970,8284539,205427,182.36,79.42,78.28,25.28,6268,2311,0.007,2021-02-24,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Asia
2022-01-10,MDV,Maldives,793469,397033,368351,28085,313,145.96,73.04,67.76,5.17,576,26,0.005,2021-02-01,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Asia
2022-01-07,MLI,Mali,1488256,942853,545403,NA,58966,7.14,4.52,2.62,NA,2827,7848,0.038,2021-03-31,Oxford/AstraZeneca,Africa
2022-01-10,MLT,Malta,1139366,451262,437702,282983,7570,220.76,87.44,84.81,54.83,14668,796,0.154,2020-12-27,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Europe
2022-01-06,MRT,Mauritania,2424087,1450549,968079,NA,69552,50.77,30.38,20.27,NA,14566,40617,0.851,2021-03-26,"Oxford/AstraZeneca, Sinopharm/Beijing",Africa
2022-01-06,MUS,Mauritius,2051003,950884,914321,NA,1803,161.06,74.67,71.8,NA,1416,469,0.037,2021-01-26,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",Africa
2022-01-01,MEX,Mexico,148938454,81916351,72846741,NA,55346,114.34,62.89,55.92,NA,425,200,0,2020-12-24,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Latin America and the Caribbean
2022-01-11,MDA,Moldova,1811729,NA,992012,NA,3872,45.02,NA,24.65,NA,962,NA,NA,2021-03-02,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Europe
2021-09-16,MCO,Monaco,49980,26672,23308,NA,103,126.47,67.49,58.98,NA,2606,32,0.081,2020-12-31,Pfizer/BioNTech,Europe
2022-01-11,MNG,Mongolia,5374811,2267136,2166556,941119,3535,161.44,68.1,65.08,28.27,1062,130,0.004,2021-02-23,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Asia
2022-01-09,MNE,Montenegro,640239,284747,274227,81265,658,101.94,45.34,43.66,12.94,1048,101,0.016,2021-02-20,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Europe
2022-01-07,MSR,Montserrat,3092,1612,1479,NA,5,62.08,32.36,29.69,NA,1004,4,0.08,2021-02-08,Oxford/AstraZeneca,Latin America and the Caribbean
