date,code,name,totalDoses,peopleVaccinated,peopleFullyVaccinated,total_boosters,dailyDosesRaw,dailyDosesAvg,totalDosesPer100,peopleVaccinatedPer100,peopleFullyVaccinatedPer100,total_boosters_per_hundred,dailyDosesAvgPer1M,daily_people_vaccinated,daily_people_vaccinated_per_hundred,country,firstShotDate,daysSinceFirstShot,cnnRegion
2023-02-28,BRA,Brazil,485188835,189377950,175879810,125688357,NA,28603,225.34,87.95,81.69,58.37,133,9130,0.004,Brazil,2021-01-17,772,Latin America and the Caribbean
2023-02-10,BRB,Barbados,381633,163833,155010,62790,NA,18,135.5,58.17,55.04,22.29,64,0,0,Barbados,2021-02-10,730,Latin America and the Caribbean
2023-02-10,BRN,Brunei,1289036,450886,446497,340030,NA,51,287.09,100.42,99.44,75.73,114,3,0.001,Brunei,2021-04-03,678,Asia
2022-10-30,BTN,Bhutan,2011426,699116,677669,634641,NA,92,257.07,89.35,86.61,81.11,118,13,0.002,Bhutan,2021-03-27,582,Asia
2023-02-19,BWA,Botswana,3171667,1931675,1627766,503402,NA,0,120.58,73.44,61.89,19.14,0,16354,0.622,Botswana,2021-03-26,695,Africa
2023-01-22,CAF,Central African Republic,2535002,2292088,2176684,214090,NA,11116,45.44,41.08,39.01,3.84,1992,5624,0.101,Central African Republic,2021-05-20,612,Africa
2023-02-02,CAN,Canada,96956502,34763194,31762130,30431178,2270,4346,252.13,90.4,82.6,79.14,113,1567,0.004,Canada,2020-12-14,780,North America
2023-02-27,CHE,Switzerland,16928821,6096224,6012531,4878643,NA,358,193.68,69.75,68.79,55.82,41,12,0,Switzerland,2020-12-23,796,Europe
2023-02-08,CHL,Chile,62688847,18088517,17700117,27474929,1342,1387,319.78,92.27,90.29,140.15,71,124,0.001,Chile,2020-12-24,776,Latin America and the Caribbean
2023-02-09,CHN,Mainland China,3491077000,1310292000,1276760000,826913000,NA,94000,244.84,91.89,89.54,57.99,66,3571,0,China,2020-12-15,786,Asia
2023-02-19,CIV,Ivory Coast,25263932,13568372,12164304,3138712,NA,30255,89.71,48.18,43.2,11.15,1074,4538,0.016,Ivory Coast,2021-03-01,720,Africa
2023-02-19,CMR,Cameroon,4272224,3918785,3378735,537652,NA,934,15.3,14.04,12.1,1.93,33,17998,0.064,Cameroon,2021-04-12,678,Africa
2023-02-12,COD,Dem. Rep. Congo,12474117,11549486,9138538,NA,NA,39460,12.6,11.66,9.23,NA,399,38151,0.039,Dem. Rep. Congo,2021-04-19,664,Africa
2022-07-31,COG,Congo,833210,695760,654119,NA,NA,9,13.96,11.65,10.96,NA,2,9,0,Congo,2021-03-23,495,Africa
2023-02-13,COK,Cook Islands,40854,15112,14728,10240,NA,1,239.87,88.73,86.47,60.12,59,0,0,Cook Islands,2021-05-18,636,Oceania
2023-01-27,COL,Colombia,90210929,42959468,36948604,14675916,NA,15599,173.9,82.81,71.23,28.29,301,2117,0.004,Colombia,2021-02-17,709,Latin America and the Caribbean
2022-10-02,COM,Comoros,835021,438825,397080,NA,NA,486,99.79,52.44,47.45,NA,581,247,0.03,Comoros,2021-04-10,540,Africa
2022-09-25,CPV,Cabo Verde,859940,356734,308720,749,NA,295,144.98,60.14,52.05,0.13,497,27,0.005,Cabo Verde,2021-03-18,556,Africa
2023-01-20,CRI,Costa Rica,12778229,4605172,4314443,2832234,NA,7965,246.64,88.89,83.28,54.67,1537,766,0.015,Costa Rica,2020-12-24,757,Latin America and the Caribbean
2023-02-27,CUB,Cuba,43656970,10727913,10008414,8702637,4074,6066,389.37,95.68,89.26,77.62,541,137,0.001,Cuba,2021-05-10,658,Latin America and the Caribbean
2022-11-16,CUW,Curaçao,256029,108601,99955,47473,1,4,133.93,56.81,52.29,24.83,21,2,0.001,Curaçao,2021-02-24,630,Latin America and the Caribbean
2023-01-20,CYM,Cayman Islands,150816,61859,60589,24064,NA,20,219.46,90.01,88.17,35.02,291,1,0.001,Cayman Islands,2021-01-08,742,Latin America and the Caribbean
2022-12-21,CYP,Cyprus,1797542,670969,646021,480552,NA,35,200.62,74.88,72.1,53.63,39,12,0.001,Cyprus,2020-12-27,724,Asia
2023-02-27,CZE,Czech Republic,18617008,6975575,6892135,5160418,176,219,177.41,66.47,65.68,49.17,21,11,0,Czech Republic,2020-12-27,792,Europe
2023-02-28,DEU,Germany,192113986,64872398,63558882,64733353,5754,3862,230.44,77.81,76.24,77.65,46,80,0,Germany,2020-12-26,794,Europe
2023-02-26,DJI,Djibouti,386619,365993,345628,NA,NA,143,34.49,32.65,30.84,NA,128,143,0.013,Djibouti,2021-03-15,713,Africa
2022-10-07,DMA,Dominica,67647,32995,30659,3993,NA,1,92.98,45.35,42.14,5.49,14,1,0.001,Dominica,2021-02-22,592,Latin America and the Caribbean
2023-02-28,DNK,Denmark,13140572,4785349,4750027,3651132,89,38,223.39,81.35,80.75,62.07,6,7,0,Denmark,2020-12-27,793,Europe
2023-02-23,DOM,Dominican Republic,16236175,7309859,6082625,2534365,NA,991,144.59,65.1,54.17,22.57,88,152,0.001,Domenican Republic,2021-02-16,737,Latin America and the Caribbean
2022-09-04,DZA,Algeria,15267442,7840131,6481186,575651,NA,628,34,17.46,14.43,1.28,14,0,0,Algeria,2021-01-30,582,Africa
2023-02-24,ECU,Ecuador,39495110,15329151,14233323,10497826,NA,1441,219.41,85.16,79.07,58.32,80,105,0.001,Ecuador,2021-01-21,764,Latin America and the Caribbean
2023-02-26,EGY,Egypt,105493060,55155346,41099759,12482313,NA,140703,95.05,49.69,37.03,11.25,1268,50723,0.046,Egypt,2021-01-24,763,Africa
2023-02-22,ESP,Spain,105522606,41343396,40730568,26517510,NA,8997,221.88,86.93,85.64,55.76,189,137,0,Spain,2020-12-27,787,Europe
2023-02-27,EST,Estonia,2109644,869116,848712,598490,59,43,159.09,65.54,64,45.13,32,4,0,Estonia,2020-12-27,792,Europe
2023-01-22,ETH,Ethiopia,53514115,43791263,37337167,2679887,NA,5741,43.37,35.49,30.26,2.17,47,3886,0.003,Ethiopia,2021-03-13,680,Africa
2023-03-01,FIN,Finland,13200849,4524371,4347907,4328571,NA,572,238.25,81.66,78.47,78.12,103,1,0,Finland,2020-12-27,794,Europe
2023-02-27,FJI,Fiji,1553053,711826,640894,171060,NA,35,167.04,76.56,68.93,18.4,38,2,0,Fiji,2021-03-10,719,Oceania
2021-04-14,FLK,Falkland Islands,4407,2632,1775,NA,NA,12,115.94,69.24,46.7,NA,3157,4,0.105,Falkland Islands,2021-02-08,65,Latin America and the Caribbean
2023-02-28,FRA,France,154313647,54658964,53168132,47568783,4661,3575,227.56,80.6,78.4,70.15,53,186,0,France,2020-12-27,793,Europe
2022-02-18,FRO,Faroe Islands,103894,41715,40895,21284,NA,26,195.59,78.53,76.99,40.07,489,2,0.004,Faroe Islands,2020-12-30,415,Europe
2023-02-05,GAB,Gabon,572672,311244,257471,2592,NA,0,23.97,13.03,10.78,0.11,0,3,0,Gabon,2021-03-23,684,Africa
2022-09-04,GBR,United Kingdom,151248820,53806963,50745901,40373987,5992,10905,224.04,79.7,75.17,59.81,162,1746,0.003,United Kingdom,2020-12-08,635,Europe
2022-10-13,GEO,Georgia,2930677,1654504,1276173,NA,NA,171,78.27,44.19,34.08,NA,46,171,0.005,Georgia,2021-03-15,577,Asia
2022-12-19,GGY,Guernsey,178525,54223,52710,69339,NA,91,281.9,85.62,83.23,109.49,1437,0,0,Guernsey,2020-12-17,732,Europe
2023-01-15,GHA,Ghana,22384226,12853113,9806758,3102301,NA,28094,66.87,38.4,29.3,9.27,839,19712,0.059,Ghana,2021-03-02,684,Africa
2022-12-16,GIB,Gibraltar,132810,42175,41465,49170,NA,54,406.43,129.07,126.89,150.47,1653,0,0,Gibraltar,2021-01-10,705,Europe
2023-02-26,GIN,Guinea,10624849,7661653,4708784,301143,NA,54805,76.66,55.28,33.98,2.17,3954,43711,0.315,Guinea,2020-12-30,788,Africa
2023-02-26,GMB,Gambia,1444492,934799,455919,31719,NA,0,53.38,34.55,16.85,1.17,0,0,0,Gambia,2021-03-10,718,Africa
2023-02-12,GNB,Guinea-Bissau,593453,544256,361959,940,NA,5,28.18,25.85,17.19,0.04,2,4,0,Guinea-Bissau,2021-04-02,681,Africa
2022-07-24,GNQ,Equatorial Guinea,488738,270109,214032,4597,NA,149,29.18,16.13,12.78,0.27,89,89,0.005,Equatorial Guinea,2021-02-12,527,Africa
2023-03-01,GRC,Greece,22110078,7933905,7644336,7110562,401,330,212.9,76.4,73.61,68.47,32,15,0,Greece,2021-01-04,786,Europe
2022-11-11,GRD,Grenada,90507,44180,38975,7352,NA,6,72.14,35.21,31.07,5.86,48,2,0.002,Grenada,2021-02-12,637,Latin America and the Caribbean
2022-03-14,GRL,Greenland,79738,41227,38511,NA,NA,1,141.14,72.98,68.17,NA,18,0,0,Greenland,2021-01-04,434,North America
2023-02-24,GTM,Guatemala,20213798,8907364,7093502,4212932,NA,3799,113.28,49.92,39.75,23.61,213,682,0.004,Guatemala,2021-02-25,729,Latin America and the Caribbean
2023-02-17,GUY,Guyana,960133,495285,381984,82864,NA,84,118.72,61.24,47.23,10.25,104,21,0.003,Guyana,2021-02-11,736,Latin America and the Caribbean
2023-02-26,HKG,Hong Kong,20696140,6913904,6796272,6985964,1028,2159,276.36,92.32,90.75,93.28,288,44,0.001,Hong Kong,2021-02-26,730,Asia
2023-02-10,HND,Honduras,17101012,6495242,5792896,4813249,NA,8076,163.91,62.26,55.53,46.14,774,1143,0.011,Honduras,2021-02-25,715,Latin America and the Caribbean
2023-02-26,HRV,Croatia,5360332,2321207,2251147,NA,NA,41,133,57.59,55.85,NA,10,6,0,Croatia,2020-12-27,791,Europe
2023-01-20,HTI,Haiti,515718,406534,238352,NA,NA,226,4.45,3.51,2.06,NA,20,316,0.003,Haiti,2021-07-16,553,Latin America and the Caribbean
2022-12-04,HUN,Hungary,16701238,6420354,6206710,4301834,NA,821,167.56,64.41,62.27,43.16,82,30,0,Hungary,2020-12-26,708,Europe
2023-01-17,IDN,Indonesia,444303130,203657535,172693321,67952274,NA,40329,161.27,73.92,62.68,24.66,146,2946,0.001,Indonesia,2021-01-13,734,Asia
2022-06-23,IMN,Isle of Man,189994,69560,67106,53328,1,4,224.75,82.29,79.38,63.08,47,0,0,Isle of Man,2021-01-04,535,Europe
2023-03-01,IND,India,2206367997,1027374842,951884144,227109011,6500,5810,155.69,72.49,67.17,16.03,4,825,0,India,2021-01-16,774,Asia
2023-02-26,IRL,Ireland,11111568,4108202,4060647,3183928,192,128,221.21,81.79,80.84,63.39,25,34,0.001,Ireland,2020-12-29,789,Europe
2023-02-19,IRN,Iran,157785811,65159767,58544482,31352288,NA,132129,178.19,73.58,66.11,35.41,1492,421,0,Iran,2021-02-09,740,Asia
2023-01-02,IRQ,Iraq,19557364,11332925,7944775,275280,NA,399,43.95,25.47,17.85,0.62,9,0,0,Iraq,2021-03-27,646,Asia
2022-03-29,ISL,Iceland,805469,309770,290193,250542,NA,61,216,83.07,77.82,67.19,164,10,0.003,Iceland,2020-12-29,455,Europe
2023-03-01,ISR,Israel,18642873,6722580,6158916,5761377,1,127,197.3,71.15,65.18,60.97,13,6,0,Israel,2020-12-19,802,Asia
2023-03-01,ITA,Italy,143755774,50867810,47961566,46917676,1619,1813,243.5,86.16,81.24,79.47,31,39,0,Italy,2020-12-27,794,Europe
2023-02-28,JAM,Jamaica,1517814,851175,751422,45939,NA,188,53.68,30.1,26.58,1.62,66,132,0.005,Jamaica,2021-03-10,720,Latin America and the Caribbean
2023-01-29,JEY,Jersey,266953,84365,81882,73662,NA,14,240.94,76.14,73.9,66.48,126,0,0,Jersey,2020-12-13,777,Europe
2022-08-21,JOR,Jordan,10057975,4821579,4558313,682211,NA,1262,89.12,42.72,40.39,6.04,112,347,0.003,Jordan,2021-01-13,585,Asia
2023-02-28,JPN,Japan,382038632,104667811,103320037,174050784,24070,44218,308.22,84.44,83.36,140.42,357,819,0.001,Japan,2021-02-17,741,Asia
2022-03-03,KAZ,Kazakhstan,20918681,9394344,9010266,2514071,12492,10734,107.84,48.43,46.45,12.96,553,3834,0.02,Kazakhstan,2021-02-01,395,Asia
2023-02-19,KEN,Kenya,23359310,14317039,10947863,1890699,NA,3413,43.24,26.5,20.26,3.5,63,1158,0.002,Kenya,2021-03-05,716,Africa
2023-03-01,KGZ,Kyrgyzstan,3429487,1652052,1371862,NA,632,611,51.72,24.92,20.69,NA,92,204,0.003,Kyrgyzstan,2021-03-29,702,Asia
2023-02-17,KHM,Cambodia,46118633,15270604,14638207,10563979,NA,16415,275.04,91.07,87.3,63,979,516,0.003,Cambodia,2021-02-10,737,Asia
2023-02-20,KIR,Kiribati,219980,100900,81474,37606,NA,230,167.62,76.88,62.08,28.66,1753,65,0.05,Kiribati,2021-05-26,635,Oceania
2022-12-02,KNA,Saint Kitts and Nevis,64297,NA,27000,3503,NA,1,134.85,NA,56.63,7.35,21,0,0,Saint Kitts and Nevis,2021-02-22,648,Latin America and the Caribbean
2022-12-12,KOR,South Korea,129647782,44820045,44401412,41325954,1775,1675,250.21,86.5,85.69,79.76,32,214,0,South Korea,2021-02-26,654,Asia
2023-02-26,KWT,Kuwait,8258689,3456358,3344861,1457470,NA,11,193.46,80.97,78.35,34.14,3,4,0,Kuwait,2020-12-24,794,Asia
2022-08-11,LAO,Laos,11111066,5888649,5222417,NA,NA,2251,147.57,78.21,69.36,NA,299,954,0.013,Laos,2020-12-31,588,Asia
2022-12-22,LBN,Lebanon,5814699,2740227,2414223,660249,NA,141,105.92,49.92,43.98,12.03,26,48,0.001,Lebanon,2021-02-14,676,Asia
2022-12-11,LBR,Liberia,4460668,3903802,3730967,1987,NA,6291,84.12,73.62,70.36,0.04,1186,5602,0.106,Liberia,2021-04-01,619,Africa
2023-01-16,LBY,Libya,3739158,2316327,1236102,186729,NA,218,54.89,34,18.15,2.74,32,72,0.001,Libya,2021-04-10,646,Africa
